product_type,premium_mode,payment_method,agent_channel,underwriting_class,e_bill_enrolled,portal_account_created,customer_service_contacts_30d,email_open_rate_30d,age_at_issue,credit_proxy_score,has_prior_aaa_membership,tenure_aaa_membership_months,uw_decision_days,first_premium_paid_days,face_amount,lapse_12m
term_10,quarterly,ach,captive,preferred,0,1,0,0.5028042686139708,57,0.3827796806288818,0,0,9,4,259859,1
term_20,monthly,ach,captive,pref_plus,0,1,1,0.5847255117521404,37,0.5201428510115509,0,0,1,10,302428,1
term_10,quarterly,ach,captive,preferred,1,1,1,0.23430022820707067,40,0.6663760005266635,1,77,9,6,189299,0
term_20,quarterly,check,independent,substandard,1,1,0,0.6613317862201494,46,0.6429387727122514,0,0,8,1,210358,0
ul,quarterly,ach,captive,preferred,1,1,0,0.0,50,0.6230858382125328,1,42,2,6,314728,0
term_10,monthly,credit_card,independent,preferred,0,1,1,0.7553384207498586,48,0.7368767842842083,0,0,15,2,243532,1
term_10,monthly,ach,independent,preferred,1,1,0,0.7194399988586392,35,0.5803817789765633,0,0,12,0,179210,1
term_20,semiannual,credit_card,independent,substandard,1,1,0,0.6000108161735518,38,0.8506047909349701,1,70,15,7,318900,1
term_20,quarterly,credit_card,independent,preferred,0,1,0,0.8957931715178044,69,0.5472335618511733,0,0,16,5,306591,1
whole_life,semiannual,ach,independent,standard,0,1,1,0.08923630133827093,24,0.72501331854227,0,0,16,15,268472,0
term_20,quarterly,credit_card,independent,pref_plus,1,1,0,0.605885444504014,40,0.7314215483120943,0,0,11,1,288552,0
ul,monthly,credit_card,captive,pref_plus,0,0,1,0.4770212261477146,32,0.3049525422926711,0,0,21,6,300768,1
whole_life,semiannual,ach,captive,standard,0,0,0,0.49881711319657296,32,0.6793627881392301,0,0,9,0,248218,0
term_20,monthly,ach,captive,standard,0,0,0,0.2172860150552796,27,0.4847749106262619,1,28,8,0,280165,1
ul,quarterly,ach,captive,standard,1,1,0,0.5289615007518966,24,0.4184069843124745,0,0,10,12,160019,0
term_10,annual,check,independent,preferred,0,1,0,0.5195646796013526,65,0.5236031460122885,1,29,15,0,238800,1
term_10,monthly,credit_card,captive,substandard,0,0,0,0.312080971643965,63,0.6291039028649253,1,118,16,3,332501,1
term_10,quarterly,credit_card,independent,standard,1,1,0,0.4362613136614064,57,0.31831843086694006,0,0,9,10,431152,1
whole_life,monthly,credit_card,captive,substandard,0,1,0,0.18709922619174812,66,0.6048390553324441,1,83,10,0,265189,0
term_20,quarterly,credit_card,independent,preferred,0,1,0,0.3709202362720755,61,0.5608361452275719,1,34,19,1,183017,0
term_10,monthly,ach,captive,preferred,0,1,0,0.6421635351263071,26,0.786872057587297,0,0,4,7,226961,1
term_20,quarterly,ach,captive,preferred,0,1,0,0.6461613644600519,60,0.4859625552802184,0,0,28,0,139207,1
term_10,quarterly,credit_card,captive,standard,1,1,0,0.6037403246606721,60,0.814168051087876,1,51,10,4,309025,1
whole_life,monthly,ach,independent,standard,1,1,0,0.6420774692223359,20,0.6696237933366128,1,64,10,0,259000,1
term_20,quarterly,ach,captive,preferred,1,1,0,0.6446930106957508,63,0.5939715460091047,1,116,14,8,178880,0
term_20,quarterly,credit_card,independent,pref_plus,0,0,0,0.32129064671083124,57,0.8292590661131822,0,0,15,8,240042,1
term_20,monthly,credit_card,independent,preferred,0,0,0,0.5179093559407484,69,0.9460559340265942,0,0,8,1,311781,1
whole_life,monthly,credit_card,online,pref_plus,0,1,1,0.6673559453536925,44,0.5621012279277022,1,87,14,0,259392,0
term_20,monthly,ach,independent,standard,0,1,1,0.17408751547799722,57,0.46678432274121034,0,0,6,5,200277,1
term_10,monthly,check,independent,preferred,1,1,1,0.1729361117780419,58,0.6772172220981192,1,50,8,7,337176,1
term_10,monthly,ach,independent,pref_plus,0,1,1,0.16187017355136757,53,0.34385409277269363,0,0,2,5,282818,1
iul,monthly,ach,captive,preferred,1,1,0,0.0928919749836683,67,0.3658147489863546,0,0,12,5,194137,1
iul,monthly,check,independent,pref_plus,1,1,0,0.23983875193552184,27,0.835237099819049,1,113,10,4,257378,1
whole_life,quarterly,credit_card,captive,substandard,0,0,0,0.3449062657879381,37,0.7029348105761162,1,107,0,2,86188,1
term_20,annual,check,independent,preferred,0,1,0,0.7524611033870618,24,0.4455296556141112,1,47,7,0,276147,1
iul,monthly,credit_card,captive,substandard,1,1,1,0.36250515001404454,50,1.0,1,85,11,3,478953,1
ul,monthly,credit_card,captive,standard,1,1,0,0.14672594263437416,21,0.3512158367183462,0,0,17,2,342644,0
whole_life,quarterly,ach,independent,standard,1,1,1,0.4832376792993113,35,0.7115501251150358,1,17,4,6,241616,0
term_20,semiannual,ach,captive,preferred,1,1,1,0.4122072515166744,56,0.45663018839737324,0,0,10,0,274972,0
term_20,quarterly,check,captive,standard,0,1,0,0.29357361496180845,64,0.9205926730991649,0,0,5,1,298583,0
term_10,monthly,credit_card,captive,standard,0,1,0,0.33228736556633015,31,0.5044329178630145,1,73,16,3,303772,1
iul,monthly,ach,independent,pref_plus,0,1,1,0.663417785958267,32,0.5487696686325595,1,59,7,0,245647,0
term_20,semiannual,ach,captive,substandard,1,1,1,0.1680230695204843,21,0.2744237058633012,0,0,15,0,80561,0
term_10,monthly,ach,captive,preferred,1,1,0,0.11684610224568731,37,0.9748762476501089,1,4,9,5,226927,0
term_20,monthly,ach,online,preferred,0,1,0,0.5433671208831684,55,0.48876896856167507,0,0,1,0,207031,0
term_20,monthly,credit_card,online,preferred,0,1,0,0.3272059010794471,64,0.6864339086053871,1,36,11,4,246838,1
term_10,semiannual,ach,captive,standard,0,0,0,0.7604418172466301,41,0.6008505898377592,1,63,4,5,194808,1
ul,monthly,ach,captive,preferred,1,1,0,0.4191393590937185,25,0.5007378383211583,1,103,18,9,303312,0
ul,monthly,check,captive,preferred,0,0,0,0.4299254860587651,36,0.1990151282731673,1,11,22,12,416982,0
whole_life,monthly,ach,online,pref_plus,0,1,0,0.607310374148835,44,0.5589054701770062,1,50,15,8,332786,0
term_20,annual,ach,captive,preferred,1,1,1,0.11556795875331488,50,0.5510968541932924,0,0,8,0,249193,1
whole_life,monthly,ach,captive,pref_plus,0,1,0,0.5175172024641863,49,0.657378216645326,1,97,12,2,375869,0
term_20,monthly,ach,captive,standard,1,1,0,0.37687636032082084,60,0.9861842833372592,1,103,13,4,330163,0
whole_life,quarterly,ach,independent,preferred,1,1,0,0.6553613318217634,48,0.7160087602352486,0,0,18,3,313003,0
term_10,quarterly,ach,captive,substandard,0,0,0,0.3206445596733912,40,0.7547750636500935,1,113,10,4,208828,1
term_20,monthly,ach,independent,standard,1,1,1,0.4853644233600831,26,0.5450691351331529,0,0,14,8,243011,1
term_10,monthly,ach,captive,standard,1,1,2,0.3782071568899732,66,0.36361069791206424,0,0,1,3,301390,0
term_20,annual,ach,independent,substandard,0,0,0,0.5325799027365574,21,0.5497323213675089,1,24,13,7,427133,1
term_20,quarterly,ach,independent,preferred,0,1,0,0.3997707641415827,36,0.46779236798238977,0,0,6,0,369606,1
term_10,semiannual,check,captive,standard,0,0,0,0.5024620774404244,40,0.5909872435249724,1,105,12,5,301983,0
term_10,monthly,ach,captive,pref_plus,1,1,0,0.8006477364977673,64,0.5110498646131318,1,83,5,0,267461,1
term_20,monthly,ach,captive,pref_plus,1,1,0,0.3928026550504576,42,0.29801498276551575,1,22,14,7,315620,0
term_10,quarterly,credit_card,independent,preferred,0,1,0,0.5305498846140948,40,0.8280561786395803,1,105,15,2,297367,0
iul,semiannual,ach,captive,standard,1,1,0,0.9072935853951671,67,0.5746583131176006,1,112,10,0,377190,1
term_20,semiannual,ach,independent,standard,0,1,0,0.5279709041577755,38,0.5405934185888501,0,0,6,2,167068,1
term_20,quarterly,credit_card,captive,preferred,0,0,0,0.0,57,0.40113966844260296,0,0,15,5,257372,1
term_20,monthly,credit_card,independent,standard,1,1,0,0.3167474015087808,21,0.5144278311467425,1,77,21,0,315352,1
term_10,monthly,ach,independent,preferred,0,0,0,0.20925017648406508,49,0.4446046470695322,1,116,23,0,368698,1
iul,annual,credit_card,captive,pref_plus,1,1,0,0.6343926223535084,56,0.38508169019292504,1,116,14,1,410922,1
term_20,annual,credit_card,captive,pref_plus,1,1,0,0.4312361286960199,30,0.6292899223461678,0,0,13,6,138136,0
ul,semiannual,ach,independent,standard,1,1,0,0.6627035985083005,57,0.5156120755055311,0,0,4,0,197363,0
term_10,monthly,ach,captive,preferred,0,0,1,0.5723113589073775,65,0.7347484080124526,0,0,19,5,249276,1
term_20,monthly,ach,independent,preferred,0,1,0,0.5714480962195819,22,0.5351356524418337,0,0,0,2,155696,1
term_20,monthly,credit_card,online,pref_plus,0,0,0,0.2053385546756834,29,0.6206619525401974,1,5,19,7,388157,0
iul,quarterly,ach,captive,standard,1,1,0,0.550978924077247,27,0.6155314964394166,0,0,12,4,264820,0
term_20,monthly,ach,captive,standard,0,0,0,0.7233179879786853,67,0.66926610412437,0,0,0,8,348800,0
term_20,quarterly,ach,captive,pref_plus,0,0,1,0.16058069375733086,34,0.4485911118627002,0,0,14,5,240776,0
term_20,monthly,check,captive,standard,0,0,0,0.3865713183129597,67,0.7618410329091789,0,0,11,0,287608,1
term_20,monthly,ach,online,standard,1,1,0,0.5208837697548524,38,0.38759904876629114,0,0,9,5,145838,0
term_20,quarterly,ach,online,preferred,1,1,1,0.46960318564918924,68,0.6076384992273481,1,23,10,5,170228,0
term_20,monthly,ach,captive,pref_plus,1,1,0,0.7373174219546846,48,0.3831133793924361,1,115,11,0,171737,1
term_10,quarterly,credit_card,online,substandard,0,1,1,0.59570148050455,34,0.5782689340118243,0,0,11,1,117941,1
ul,monthly,ach,captive,preferred,1,1,1,0.5312183778545292,45,0.7603514433999703,0,0,3,0,337041,1
ul,annual,credit_card,online,preferred,1,1,1,0.6135203091848671,26,0.69998623337068,0,0,14,6,253766,0
term_10,quarterly,ach,independent,standard,0,0,0,0.6028579084296467,29,0.7905401697259111,0,0,9,2,339523,1
term_20,semiannual,ach,captive,standard,0,1,0,0.45821382148781403,51,0.5454194819938556,1,87,21,1,245638,0
term_10,annual,ach,independent,standard,1,1,0,0.3790359609022624,57,0.7636065065400414,0,0,17,0,345030,1
whole_life,annual,ach,independent,standard,0,1,0,0.6480619306358706,41,0.47539931616106845,0,0,17,1,331180,1
term_20,quarterly,ach,captive,pref_plus,0,1,0,0.30138422010505383,62,0.5174798699929689,1,70,23,5,245141,0
whole_life,monthly,credit_card,captive,standard,1,1,0,0.4355442777741139,39,0.6234061449411581,1,118,16,3,270772,0
whole_life,quarterly,ach,independent,preferred,0,0,0,0.21865327702655718,38,0.7530000392408872,0,0,11,1,283090,1
ul,quarterly,credit_card,captive,standard,1,1,0,0.5963351302021394,47,0.5014784680419645,0,0,0,0,344141,0
term_10,monthly,ach,captive,preferred,1,1,1,0.6965045772514167,39,0.7251247576389432,0,0,13,1,252289,0
iul,monthly,credit_card,captive,pref_plus,0,1,0,0.2628903618702933,54,0.6416137383715599,0,0,22,0,283450,1
term_10,semiannual,ach,independent,preferred,1,1,1,0.4192141254631078,65,0.6606383887299563,1,115,17,2,136805,0
term_10,quarterly,ach,captive,standard,0,1,0,0.3539868473955049,36,0.44616694216443975,0,0,8,5,184361,0
term_20,monthly,ach,captive,preferred,0,1,0,0.6650652618859123,44,0.5307526379664183,0,0,12,1,196141,1
term_20,monthly,check,captive,standard,1,1,0,0.7333942973660498,36,0.5831460420454436,0,0,8,9,296184,1
ul,quarterly,check,captive,pref_plus,0,0,2,0.3541813012013122,49,0.6607496093511168,0,0,13,0,198519,0
ul,monthly,credit_card,independent,preferred,1,1,1,0.0,50,0.45466592674981143,0,0,8,0,263926,0
term_20,semiannual,credit_card,captive,standard,0,0,0,0.6805602203689078,42,0.3674442115668338,1,23,20,2,241681,0
iul,quarterly,ach,independent,preferred,1,1,0,0.4590189819739302,23,0.21610158978823185,0,0,12,0,255047,0
term_20,monthly,ach,captive,standard,1,1,0,0.45979069567907593,66,0.7342459963942318,0,0,13,16,324222,0
term_20,monthly,ach,independent,substandard,1,1,0,0.6427427585419063,54,0.769936098481177,0,0,7,1,267910,0
term_20,monthly,credit_card,captive,standard,0,1,0,0.37719644521285434,56,0.23825682820015837,0,0,9,0,234754,1
iul,annual,ach,independent,preferred,0,0,0,0.323944854869217,59,0.6136207452131195,1,56,5,3,287013,0
term_10,semiannual,ach,captive,preferred,1,1,0,0.37885831738904785,21,0.5321159000412713,0,0,20,2,384001,1
term_10,annual,credit_card,independent,substandard,1,1,0,0.5478172811207923,63,0.8190655022143238,0,0,8,0,258946,1
term_20,semiannual,ach,captive,standard,1,1,2,0.6257934513002645,24,0.5621524481259672,1,40,12,4,152097,1
iul,annual,credit_card,captive,standard,0,0,0,0.7766307431265211,57,0.6981919970046693,1,67,2,5,144777,0
ul,monthly,ach,independent,preferred,0,1,0,0.5306784879649592,67,0.5234573076587091,1,40,4,3,227570,1
whole_life,monthly,credit_card,captive,standard,0,1,0,0.4210748488043003,45,0.47632300319422444,0,0,10,1,158766,1
ul,monthly,credit_card,captive,pref_plus,1,1,0,0.627238174145865,55,0.7381025024220557,1,114,10,1,58623,1
ul,quarterly,credit_card,independent,standard,1,1,1,0.255748366967669,63,0.7941050134159362,0,0,13,0,226588,0
term_20,annual,ach,independent,standard,0,0,2,0.7338776449448817,48,0.37159524484603024,1,88,24,0,280451,0
term_20,monthly,ach,independent,substandard,0,1,1,0.49227538791337105,44,0.8056395073442911,1,39,0,8,360710,1
ul,annual,ach,online,pref_plus,1,1,1,0.4042619463760257,60,0.42453708484242936,1,81,17,12,248591,0
whole_life,monthly,ach,captive,standard,0,0,0,0.25639497780372666,59,0.18022898264912313,1,54,14,0,274784,1
term_20,annual,credit_card,captive,pref_plus,0,0,0,0.5753879901758092,24,0.6019472998785759,1,75,8,0,291250,0
term_10,monthly,ach,independent,preferred,0,1,0,0.3938766971126066,23,0.6912906955309815,0,0,9,0,256625,1
whole_life,monthly,ach,captive,standard,1,1,1,0.4311435437100936,55,0.3271684260792646,0,0,18,6,196601,0
term_20,monthly,ach,captive,preferred,1,1,0,0.11576121507680937,55,0.24310221589210046,1,23,11,0,423688,1
iul,monthly,check,captive,preferred,0,1,1,0.3630641451154588,60,0.5109374611507768,1,21,10,5,170938,0
term_10,monthly,ach,captive,standard,1,1,0,0.3363005533344085,24,0.486858733891195,1,82,5,4,283312,0
term_10,semiannual,ach,captive,standard,1,1,0,0.5337125617975664,27,0.8465309323827596,0,0,6,2,187605,0
ul,monthly,ach,captive,standard,1,1,1,0.39647072822453605,21,0.6021766148325453,0,0,4,8,259031,1
term_10,monthly,ach,independent,preferred,0,0,0,0.0,34,0.7322180044054676,0,0,17,1,282758,0
term_10,monthly,check,independent,standard,0,0,0,0.36699758523522696,45,0.6377442535383011,0,0,7,3,233834,1
term_20,quarterly,ach,online,preferred,1,1,1,0.15910331321701454,38,0.8823648820535754,0,0,4,0,152918,1
ul,quarterly,credit_card,captive,pref_plus,0,1,0,0.24143101577855183,25,0.43949430087666996,0,0,13,0,222209,1
term_10,monthly,credit_card,captive,preferred,1,1,0,0.6507769157336121,47,0.5841683744037582,0,0,7,7,339926,0
term_20,monthly,credit_card,independent,standard,1,1,0,0.11220325403699255,36,0.31756729419199053,0,0,21,0,129829,1
ul,quarterly,credit_card,captive,preferred,1,1,0,0.508968726723412,34,0.7460511054509045,0,0,12,7,380471,0
iul,semiannual,credit_card,captive,pref_plus,1,1,1,0.34855594826879077,58,0.8005242145447644,1,114,13,1,257589,0
term_20,semiannual,ach,independent,substandard,0,0,2,0.3099929516770641,35,0.7570992402038728,0,0,13,2,307180,1
term_10,quarterly,ach,independent,standard,0,1,0,0.25413523270553057,47,0.5775574098322952,0,0,15,3,165680,0
term_10,semiannual,credit_card,captive,standard,0,1,0,0.5139046624314628,23,0.3319012623490566,0,0,16,0,238076,0
term_10,annual,credit_card,independent,standard,0,1,0,0.5363609944230097,56,0.5844479590891919,0,0,12,0,196719,0
term_10,annual,ach,independent,substandard,1,1,0,0.1049700365988176,47,0.4780111464282313,1,11,5,0,273626,1
whole_life,monthly,ach,independent,standard,0,1,0,0.680104826907111,59,0.7660775400283356,1,65,11,0,162650,0
term_10,annual,ach,captive,preferred,0,1,1,0.21274717224334463,35,0.5231916542247258,1,47,12,2,200357,0
term_20,annual,ach,independent,standard,0,0,0,0.5277218196585114,44,0.5193494413812643,0,0,2,7,415397,0
whole_life,quarterly,ach,independent,substandard,0,0,2,0.21380656199679074,41,0.9913169968856019,0,0,0,0,301751,0
term_20,semiannual,ach,captive,standard,1,1,0,0.35818756548043407,69,0.743877589345094,1,8,4,2,280383,1
term_10,monthly,ach,independent,pref_plus,0,0,1,0.19423965672018062,25,0.793668322644143,0,0,0,3,279093,1
ul,monthly,credit_card,independent,substandard,1,1,0,0.3442518763282893,30,0.5078209327665624,0,0,9,0,366691,1
whole_life,quarterly,credit_card,captive,standard,0,1,0,0.40980506347913803,68,0.4019352605072098,0,0,7,4,239876,0
whole_life,quarterly,credit_card,captive,preferred,1,1,0,0.22013627449942583,24,0.7920234171392018,1,103,12,7,324917,0
term_10,quarterly,credit_card,captive,substandard,1,1,0,0.5128882673345379,33,0.8685784979061422,0,0,16,4,61194,1
term_10,annual,ach,independent,standard,0,0,1,0.539086417414169,35,0.368431288113947,1,7,13,2,240407,0
iul,quarterly,ach,captive,standard,1,1,0,0.9912059067795322,59,0.5068516941155767,0,0,14,0,225278,0
term_20,semiannual,credit_card,captive,substandard,0,0,0,0.635739163244115,58,0.4354335985435644,0,0,17,2,208053,1
term_20,semiannual,credit_card,captive,pref_plus,1,1,0,0.6852840716130122,63,0.6866550639887148,0,0,10,0,309149,1
term_20,monthly,credit_card,independent,standard,1,1,0,0.09619691463427765,24,0.7955421820280292,0,0,0,0,239237,0
whole_life,annual,credit_card,independent,preferred,0,1,1,0.058306890455247784,30,0.5337045526856741,0,0,1,2,237137,1
iul,semiannual,credit_card,captive,standard,0,1,1,0.3906018857144035,43,0.5331830735486442,0,0,14,2,187268,0
term_20,quarterly,credit_card,captive,standard,1,1,0,0.8073632601422731,56,0.24778631407890067,0,0,13,7,218511,0
iul,quarterly,credit_card,captive,standard,1,1,0,0.9448725678382688,48,0.4282364741842298,0,0,16,0,89448,1
term_10,semiannual,credit_card,captive,standard,1,1,1,0.31249285280851014,46,0.871316592378149,0,0,29,4,224759,1
term_20,annual,ach,independent,standard,1,1,0,0.33275544018087405,60,0.6886791016660794,1,87,13,1,136789,0
whole_life,semiannual,ach,captive,preferred,0,0,0,0.5587787791224548,29,0.7667320852810777,0,0,11,0,373572,0
term_10,semiannual,ach,independent,preferred,0,1,0,0.41056820887182577,62,0.5342708822847972,1,69,14,5,308694,0
term_10,monthly,ach,independent,pref_plus,1,1,0,0.4156131204491224,52,0.5508489108121403,1,21,4,4,323038,1
term_20,monthly,credit_card,independent,standard,0,0,1,0.576979824082092,31,0.6033511720943079,1,109,16,0,144332,1
iul,quarterly,ach,captive,standard,1,1,0,0.9931035991687052,41,0.6583630081752343,1,48,10,0,317046,1
term_20,quarterly,ach,captive,standard,0,1,0,0.7109146716670904,33,0.8476876849597168,0,0,22,7,196623,0
iul,monthly,credit_card,captive,preferred,1,1,0,0.8238253095313519,35,0.4789045218419863,1,2,2,6,272143,1
ul,monthly,ach,online,standard,1,1,0,0.08117301438369817,54,0.5751442167208409,1,71,12,7,235065,0
term_20,semiannual,credit_card,independent,preferred,0,1,0,0.6649562955004804,35,0.4572146266108009,1,107,8,7,139709,0
ul,semiannual,ach,independent,substandard,0,1,0,0.26002627958303626,62,0.2457303155847279,1,68,5,3,166996,0
term_10,quarterly,ach,independent,standard,1,1,0,0.7852896949508361,24,0.7656250943312696,0,0,15,1,302744,1
